timestamp,event_title,contract_ticker,contract_title,target_time_edt,time_to_expiry_minutes,current_btc_price,strike_price,direction,selected_horizon,market_yes_probability,market_no_probability,model_yes_probability,model_no_probability,yes_edge,no_edge,confidence,recommendation,liquidity_score,bid_ask_spread,mapping_confidence,key_drivers,warnings,rank_score
2026-05-30T21:22:44.257818+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T82799.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,82799.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $82,800, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.258124+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T82699.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,82699.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $82,700, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.258366+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T82599.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,82599.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $82,600, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.258584+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T82499.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,82499.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $82,500, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.258801+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T82399.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,82399.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $82,400, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.259010+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T82299.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,82299.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $82,300, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.259225+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T82199.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,82199.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $82,200, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.259431+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T82099.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,82099.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $82,100, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.259632+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T81999.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,81999.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $82,000, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.259839+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T81899.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,81899.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $81,900, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.260071+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T81799.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,81799.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $81,800, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.260277+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T81699.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,81699.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $81,700, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.260480+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T81599.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,81599.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $81,600, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.260679+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T81499.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,81499.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $81,500, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.260880+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T81399.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,81399.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $81,400, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.261084+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T81299.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,81299.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $81,300, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.261284+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T81199.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,81199.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $81,200, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.261480+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T81099.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,81099.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $81,100, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.261681+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T80999.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,80999.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $81,000, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.261880+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T80899.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,80899.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $80,900, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.262077+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T80799.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,80799.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $80,800, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.262275+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T80699.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,80699.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $80,700, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.262471+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T80599.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,80599.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $80,600, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
2026-05-30T21:22:44.262669+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T80499.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.3,73877.53,80499.99,above,30m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3638,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,878, strike $80,500, sigma_h=0.0016, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.36 below threshold 0.65,0.0
